algorithm,language,sample,time
radixlsd,python,95,0.0836954116821289
radixlsd,python,96,0.087679386138916
radixlsd,python,97,0.0848388671875
radixlsd,python,98,0.0796382427215576
radixlsd,python,99,0.0826020240783691
radixmsd,python,0,0.0590713024139404
radixmsd,python,1,0.0747601985931396
radixmsd,python,2,0.0610430240631103
radixmsd,python,3,0.0608866214752197
radixmsd,python,4,0.0595242977142334
radixmsd,python,5,0.0596249103546142
radixmsd,python,6,0.0580501556396484
radixmsd,python,7,0.0643630027770996
radixmsd,python,8,0.0617945194244384
radixmsd,python,9,0.0619096755981445
radixmsd,python,10,0.0610959529876709
radixmsd,python,11,0.0583143234252929
radixmsd,python,12,0.0619561672210693
radixmsd,python,13,0.0624523162841796
radixmsd,python,14,0.0599997043609619
radixmsd,python,15,0.0575220584869384
radixmsd,python,16,0.0600812435150146
radixmsd,python,17,0.0610370635986328
radixmsd,python,18,0.0621817111968994
radixmsd,python,19,0.0593452453613281
radixmsd,python,20,0.0602426528930664
radixmsd,python,21,0.0627591609954834
radixmsd,python,22,0.0593118667602539
radixmsd,python,23,0.0603177547454834
radixmsd,python,24,0.0628762245178222
radixmsd,python,25,0.1037383079528808
radixmsd,python,26,0.0673432350158691
radixmsd,python,27,0.0589025020599365
radixmsd,python,28,0.0599591732025146
radixmsd,python,29,0.0596470832824707
radixmsd,python,30,0.0630505084991455
radixmsd,python,31,0.0590846538543701
radixmsd,python,32,0.0604264736175537
radixmsd,python,33,0.0635638236999511
radixmsd,python,34,0.0587151050567626
radixmsd,python,35,0.0595355033874511
radixmsd,python,36,0.0588090419769287
radixmsd,python,37,0.0809550285339355
radixmsd,python,38,0.0607061386108398
radixmsd,python,39,0.0775573253631591
radixmsd,python,40,0.0588507652282714
radixmsd,python,41,0.0578041076660156
radixmsd,python,42,0.0625350475311279
radixmsd,python,43,0.05940842628479
radixmsd,python,44,0.0595364570617675
radixmsd,python,45,0.0581343173980712
radixmsd,python,46,0.0578775405883789
radixmsd,python,47,0.0610284805297851
radixmsd,python,48,0.0609064102172851
radixmsd,python,49,0.0641860961914062
radixmsd,python,50,0.0624260902404785
radixmsd,python,51,0.0603291988372802
radixmsd,python,52,0.0623700618743896
radixmsd,python,53,0.0590591430664062
radixmsd,python,54,0.0580935478210449
radixmsd,python,55,0.0599193572998046
radixmsd,python,56,0.0618009567260742
radixmsd,python,57,0.0593211650848388
radixmsd,python,58,0.0607097148895263
radixmsd,python,59,0.0601093769073486
radixmsd,python,60,0.0612072944641113
radixmsd,python,61,0.0610301494598388
radixmsd,python,62,0.0653748512268066
radixmsd,python,63,0.059760570526123
radixmsd,python,64,0.0592195987701416
radixmsd,python,65,0.0653374195098877
